Strain (V),Turns,Ic(A),n
0,0,30.6,14
0.032,20,35.4,15
0.07,40,42,16.7
0.098,55,46.7,17.9
0.139,70,52,19.7
0.133,80,55.5,20.6
0.136,90,58.8,21.2
0.122,95,61.6,22.6
0.124,100,64.6,24.8
0.124,105,67.1,25.9
0.124,110,71,25.4
0.158,115,74.4,25.4
0.177,120,78,26
0.224,125,81,27.4
0.245,128,83.2,27.4
0.273,131,85.2,29.1
0.299,134,86.8,29.1
0.324,137,85.5,29.1
0.354,140,81.6,21
0.381,143,77.3,19.7
0.42,146,72.5,19
0.453,149,64.8,15.5
0.484,152,59.5,15.5
0.528,155,51.5,12.6
0.56,158,44.4,11
0.598,161,38.8,10.4
0.646,164,31.7,8.6